Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S151958280,Negrón común,Melanitta nigra,683,52,ES-GA,Pontevedra,L4916678,Baiona--Cabo Silleiro,42.1115227,-8.89937,2023-10-11,06:23 PM,eBird - Traveling Count,52,1,.322,,1,,18:57 S. Venían del norte.,,609827317 609827318 609827608
S140862497,Gallo bankiva,Gallus gallus,1544,1,US-FL,Monroe,L25026535,Key West Center,24.5549832,-81.8002356,2012-12-29,06:34 PM,eBird - Casual Observation,,0,,,1,,,,582435361
S140836206,Gallo bankiva,Gallus gallus,1544,1,US-FL,Monroe,L505745,"Mallory Square, Key West",24.5599656,-81.8077183,2012-12-28,06:25 PM,eBird - Casual Observation,,0,,,1,,,,582309891
S145925723,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,1,ES-GA,Ourense,L26272900,O Barco de Valdeorras--Finca da Cruz,42.4145647,-6.9730082,2023-07-29,07:03 PM,eBird - Traveling Count,107,1,1.304,,1,,,,598671311
S149917136,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,8,ES-GA,Ourense,L16938611,Ourense cidade--Campus oeste,42.3445534,-7.8571773,2023-09-15,01:29 PM,eBird - Traveling Count,10,1,.25,,1
S140810033,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,1,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-17,06:55 PM,eBird - Traveling Count,40,0,2.,,1,,,,582209251
S148798664,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,35,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-09-02,08:10 PM,eBird - Casual Observation,,0,,,1
S140810733,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,2,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-16,06:28 PM,eBird - Traveling Count,130,0,5.,,1,,,,582213571
S140702595,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-27,03:23 PM,eBird - Traveling Count,95,1,5.,,1,,,,581843831
S140989431,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,12,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-09,04:13 PM,eBird - Traveling Count,115,1,5.649,,1,,,,582900741 582900751
S141098540,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,15,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-10,03:44 PM,eBird - Traveling Count,114,1,6.695,,1,,,,583243951
S141614449,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,5,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-15,12:51 PM,eBird - Traveling Count,87,1,3.862,,1
S141699864,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,14,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-16,10:24 AM,eBird - Traveling Count,74,1,5.311,,1,,,,585369521 585369531
S141929527,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,1,ES-GA,Pontevedra,L24957451,Gran Árbol de Ricardo Mella,42.1931244,-8.7842885,2023-06-18,02:24 PM,eBird - Stationary Count,31,1,,,1,,,,586053171
S141227255,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,2,ES-GA,Pontevedra,L4279363,Vigo--Xunqueira do Lagares,42.2006709,-8.7755656,2023-06-11,03:17 PM,eBird - Traveling Count,120,1,4.104,,1,,,,583716801
S152014691,Paloma bravía (doméstica),Columba livia (Feral Pigeon),1871,1,ES-GA,Pontevedra,L4279363,Vigo--Xunqueira do Lagares,42.2006709,-8.7755656,2023-10-12,03:30 PM,eBird - Traveling Count,112,1,3.653,,1,,,,609882028
S146106080,Paloma torcaz,Columba palumbus,1888,7,ES-GA,Ourense,L5882629,Encoro de San Martiño,42.3878801,-7.1215871,2023-07-31,04:49 PM,eBird - Traveling Count,99,1,17.123,,1
S145925723,Paloma torcaz,Columba palumbus,1888,3,ES-GA,Ourense,L26272900,O Barco de Valdeorras--Finca da Cruz,42.4145647,-6.9730082,2023-07-29,07:03 PM,eBird - Traveling Count,107,1,1.304,,1,,,,609411931
S151496635,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Ourense,L6292029,Ourense cidade--Campus Universitario este,42.344154,-7.851237,2023-10-05,05:50 PM,eBird - Traveling Count,50,1,1.223,,1
S141958247,Paloma torcaz,Columba palumbus,1888,3,ES-GA,Pontevedra,L4916678,Baiona--Cabo Silleiro,42.1115227,-8.89937,2023-06-18,05:08 PM,eBird - Traveling Count,71,1,1.802,,1,,,,586054391
S149012023,Paloma torcaz,Columba palumbus,1888,100,ES-GA,Pontevedra,L5376167,Baiona--Castillo de Monterreal,42.124243,-8.8504028,2023-09-04,07:46 PM,eBird - Traveling Count,78,1,1.561,,1,,,,608490414 608490415 608490416 608490417 608490418 608490419
S149076266,Paloma torcaz,Columba palumbus,1888,30,ES-GA,Pontevedra,L5376167,Baiona--Castillo de Monterreal,42.124243,-8.8504028,2023-09-05,07:41 PM,eBird - Traveling Count,81,1,1.159,,1,,,,608526339 608527453
S151558056,Paloma torcaz,Columba palumbus,1888,19,ES-GA,Pontevedra,L5376167,Baiona--Castillo de Monterreal,42.124243,-8.8504028,2023-10-06,06:49 PM,eBird - Traveling Count,93,1,1.159,,1,,,,609697991
S140666267,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-01,10:58 AM,eBird - Stationary Count,4,0,,,1,,,,581764781 581764791
S140665682,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-02,09:54 PM,eBird - Stationary Count,50,0,,,1,,,,581763321
S140558904,Paloma torcaz,Columba palumbus,1888,4,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-03,08:45 PM,eBird - Stationary Count,107,1,,,1
S140679891,Paloma torcaz,Columba palumbus,1888,5,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-06,12:52 PM,eBird - Stationary Count,49,1,,,1,,,,581785611 581785621
S140791098,Paloma torcaz,Columba palumbus,1888,4,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-07,04:04 PM,eBird - Stationary Count,53,1,,,1,,,,582194701 582194711 582194721 582194731
S140822225,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-07,09:46 PM,eBird - Stationary Count,39,1,,,1,,,,582262091
S140910168,Paloma torcaz,Columba palumbus,1888,7,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-08,08:09 PM,eBird - Stationary Count,73,1,,,1
S141341686,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-12,04:01 PM,eBird - Traveling Count,20,1,.097,,1
S141471968,Paloma torcaz,Columba palumbus,1888,6,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-13,09:16 PM,eBird - Stationary Count,40,1,,,1
S141532419,Paloma torcaz,Columba palumbus,1888,3,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-14,03:54 PM,eBird - Stationary Count,24,1,,,1
S142330184,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L24957603,Baiona--Monte de Sabarís,42.1092202,-8.8342355,2023-06-22,10:46 AM,eBird - Stationary Count,4,1,,,1,,,,587146151
S140767351,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Pontevedra,L25005145,Baiona--Paseo fluvial do río Baíña,42.1125502,-8.8410759,2023-05-21,03:52 PM,eBird - Traveling Count,70,0,3.,,1,,,,582110741
S140808749,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-18,04:45 PM,eBird - Traveling Count,32,0,2.,,1,,,,582204211
S140808031,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-19,04:33 PM,eBird - Traveling Count,57,0,3.,,1,,,,582200741
S140767819,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-22,04:09 PM,eBird - Traveling Count,64,0,2.,,1,,,,582111921 582111931
S149462230,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Pontevedra,L5820438,Esteiro do Miño--Marisma de Salcidos,41.9012837,-8.8448095,2023-09-09,06:02 PM,eBird - Traveling Count,128,1,2.655,,1
S140810733,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-16,06:28 PM,eBird - Traveling Count,130,0,5.,,1,,,,582213611
S140766884,Paloma torcaz,Columba palumbus,1888,4,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-23,01:07 PM,eBird - Traveling Count,80,0,4.,,1,,,,582109211 582109221 582109231
S140766324,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-24,12:52 PM,eBird - Traveling Count,100,0,4.,,1,,,,582107411
S140702595,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-27,03:23 PM,eBird - Traveling Count,95,1,5.,,1,,,,581843911
S140558068,Paloma torcaz,Columba palumbus,1888,4,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-03,01:56 PM,eBird - Traveling Count,106,1,5.,,1,,,,581417631
S140989431,Paloma torcaz,Columba palumbus,1888,3,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-09,04:13 PM,eBird - Traveling Count,115,1,5.649,,1
S141098540,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-10,03:44 PM,eBird - Traveling Count,114,1,6.695,,1
S141614449,Paloma torcaz,Columba palumbus,1888,10,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-15,12:51 PM,eBird - Traveling Count,87,1,3.862,,1,,,,585067081 585067091 585067101 585067111
S141699864,Paloma torcaz,Columba palumbus,1888,7,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-16,10:24 AM,eBird - Traveling Count,74,1,5.311,,1
S142340540,Paloma torcaz,Columba palumbus,1888,7,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-22,01:13 PM,eBird - Traveling Count,82,1,3.138,,1
S147728945,Paloma torcaz,Columba palumbus,1888,4,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-20,08:51 PM,eBird - Traveling Count,99,1,3.267,,1,,,,605389271 605389281 605389311 605389321
S148070431,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-25,08:14 PM,eBird - Traveling Count,59,1,2.205,,1,,,,606960051 606960061
S148406921,Paloma torcaz,Columba palumbus,1888,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-29,08:52 PM,eBird - Traveling Count,100,1,1.915,,1
S149141694,Paloma torcaz,Columba palumbus,1888,6,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-06,07:44 PM,eBird - Traveling Count,85,1,2.655,,1
S149209087,Paloma torcaz,Columba palumbus,1888,2,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-07,08:08 PM,eBird - Traveling Count,71,1,2.205,,1
S149333419,Paloma torcaz,Columba palumbus,1888,3,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-08,07:33 PM,eBird - Traveling Count,112,1,3.219,,1
S150492173,Paloma torcaz,Columba palumbus,1888,13,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-22,07:38 PM,eBird - Traveling Count,48,1,2.157,,1
S151013355,Paloma torcaz,Columba palumbus,1888,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-29,06:48 PM,eBird - Traveling Count,109,1,3.122,,1
S151602437,Paloma torcaz,Columba palumbus,1888,11,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-10-07,12:02 PM,eBird - Traveling Count,139,1,2.623,,1
